"subject","item","target_response","adverb","seen_in_training","data_source","response","log.RT","correct","voice","linear","seen_in_training.n","target_response.n","data_source.n","voice.n","linear.n"
"1","8","Subject target","usually","Seen","human","[subj]",7.65539064482615,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","66","Object target","usually","Seen","human","[obj]",7.952615111651,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","52","Subject target","typically","Unseen","human","[subj]",7.79770203551669,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","61","Object target","typically","Seen","human","[obj]",7.78530518253986,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","84","Object target","usually","Seen","human","[obj]",7.68248244653451,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","110","Object target","usually","Unseen","human","[obj]",7.8995244720322,TRUE,"OVS passive","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","104","Object target","often","Unseen","human","[obj]",7.7698009960039,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","102","Object target","usually","Unseen","human","[obj]",7.74283595543075,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","53","Subject target","usually","Unseen","human","[subj]",7.62803112693033,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","65","Object target","typically","Seen","human","[obj]",7.62413058566129,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","77","Object target","often","Seen","human","[obj]",7.73892375743946,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","73","Object target","often","Seen","human","[obj]",7.77443551030296,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","50","Subject target","often","Unseen","human","[subj]",8.38571682862785,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","69","Object target","typically","Seen","human","[obj]",7.5999019592085,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","115","Object target","usually","Unseen","human","[obj]",7.67971363996637,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","32","Subject target","always","Seen","human","[subj]",7.71244383427499,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","99","Object target","often","Seen","human","[obj]",7.83597458172157,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","45","Subject target","always","Unseen","human","[subj]",8.27435700675629,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","49","Subject target","always","Unseen","human","[subj]",7.84031298332016,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","47","Subject target","typically","Unseen","human","[subj]",8.81655676864186,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","105","Object target","typically","Unseen","human","[obj]",7.77737360265786,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","18","Subject target","always","Seen","human","[subj]",7.69984240739699,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","56","Subject target","typically","Unseen","human","[subj]",7.88720858581393,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","58","Subject target","always","Unseen","human","[subj]",8.16593213732158,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","15","Subject target","often","Seen","human","[subj]",7.54802896993501,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","51","Subject target","often","Unseen","human","[subj]",7.74413662762799,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","42","Subject target","often","Unseen","human","[subj]",7.94236223767433,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","39","Subject target","usually","Seen","human","[subj]",7.92479591395644,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","97","Object target","usually","Seen","human","[obj]",7.755767170103,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","81","Object target","always","Seen","human","[obj]",7.76556908109732,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","5","Subject target","always","Seen","human","[subj]",7.74240202181578,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","7","Subject target","typically","Seen","human","[subj]",7.77863014732581,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","31","Subject target","usually","Seen","human","[subj]",7.78613643778307,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","19","Subject target","often","Seen","human","[subj]",7.78696700261487,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","9","Subject target","always","Seen","human","[subj]",8.22603842948548,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","35","Subject target","usually","Seen","human","[subj]",7.71467747380093,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","107","Object target","always","Unseen","human","[obj]",7.88231491898027,TRUE,"OVS passive","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","60","Subject target","typically","Unseen","human","[subj]",7.86249719723055,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","12","Subject target","typically","Seen","human","[subj]",7.81923445385907,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","28","Subject target","often","Seen","human","[subj]",7.7510451179718,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","76","Object target","always","Seen","human","[obj]",7.84815308619953,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","85","Object target","always","Seen","human","[obj]",8.05515773181968,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","113","Object target","often","Unseen","human","[obj]",7.75147531802146,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","29","Subject target","typically","Seen","human","[subj]",7.67368812926773,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","11","Subject target","often","Seen","human","[subj]",7.65491704784832,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","55","Subject target","often","Unseen","human","[subj]",7.49665243816828,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","98","Object target","always","Seen","human","[obj]",7.58171964012531,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","16","Subject target","typically","Seen","human","[subj]",7.72400465667607,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","48","Subject target","usually","Unseen","human","[subj]",7.53796265976821,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","2","Subject target","often","Seen","human","[subj]",7.96137020171951,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","78","Object target","typically","Seen","human","[obj]",7.86365126544865,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","1","Subject target","always","Seen","human","[subj]",8.08085641964099,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","70","Object target","usually","Seen","human","[obj]",7.87359778968554,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","92","Object target","typically","Seen","human","[obj]",8.03883475778775,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","3","Subject target","typically","Seen","human","[subj]",7.71646080017636,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","94","Object target","always","Seen","human","[obj]",7.76895604453833,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","119","Object target","usually","Unseen","human","[obj]",7.71912984090673,TRUE,"OVS passive","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","91","Object target","often","Seen","human","[obj]",7.65964295456468,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","116","Object target","always","Unseen","human","[obj]",7.64969262371151,TRUE,"OVS passive","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","13","Subject target","usually","Seen","human","[subj]",7.57558465155779,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","30","Subject target","usually","Seen","human","[subj]",7.7510451179718,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","26","Subject target","usually","Seen","human","[subj]",7.7066129139642,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","20","Subject target","typically","Seen","human","[subj]",7.87435882472988,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","96","Object target","typically","Seen","human","[obj]",7.70841066725737,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","103","Object target","always","Unseen","human","[obj]",8.20494516501921,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","67","Object target","always","Seen","human","[obj]",7.69302574841789,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","86","Object target","often","Seen","human","[obj]",8.28878581042693,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","83","Object target","typically","Seen","human","[obj]",7.73193072194849,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","27","Subject target","always","Seen","human","[subj]",7.6889133368648,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","44","Subject target","usually","Unseen","human","[subj]",7.82883452758809,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","25","Subject target","typically","Seen","human","[subj]",7.71556953452021,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","120","Object target","always","Unseen","human","[obj]",7.70029520342012,TRUE,"OVS passive","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","106","Object target","usually","Unseen","human","[obj]",7.77653502818524,TRUE,"OVS passive","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","59","Subject target","often","Unseen","human","[subj]",7.86365126544865,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","37","Subject target","often","Seen","human","[subj]",7.59438124255182,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","118","Object target","typically","Unseen","human","[obj]",7.66293785046154,TRUE,"OVS passive","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","62","Object target","usually","Seen","human","[obj]",7.9035962896143,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","21","Subject target","typically","Seen","human","[subj]",7.78945456608667,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","80","Object target","always","Seen","human","[obj]",7.8739783796045,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","43","Subject target","typically","Unseen","human","[subj]",7.74153358928183,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","87","Object target","typically","Seen","human","[obj]",7.74109909003537,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","74","Object target","typically","Seen","human","[obj]",7.6004023345004,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","14","Subject target","always","Seen","human","[subj]",7.83794891602528,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","10","Subject target","often","Seen","human","[subj]",7.91862865334224,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","54","Subject target","always","Unseen","human","[subj]",7.82364593083495,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","23","Subject target","always","Seen","human","[subj]",7.82324569068552,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","95","Object target","often","Seen","human","[obj]",7.60887062919126,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","40","Subject target","always","Seen","human","[subj]",8.08794755464267,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","34","Subject target","typically","Seen","human","[subj]",7.84971375760487,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","68","Object target","often","Seen","human","[obj]",7.63626960337937,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","63","Object target","always","Seen","human","[obj]",7.85709386490249,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","114","Object target","typically","Unseen","human","[obj]",8.35302584520232,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","36","Subject target","always","Seen","human","[subj]",7.76599307940768,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","82","Object target","often","Seen","human","[obj]",7.70616297019958,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","46","Subject target","often","Unseen","human","[subj]",7.98412195870293,TRUE,"OVS passive","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","101","Object target","typically","Unseen","human","[obj]",7.86940171257709,TRUE,"SVO active","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","4","Subject target","usually","Seen","human","[subj]",7.88683299895506,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","71","Object target","usually","Seen","human","[obj]",7.82444593087762,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","75","Object target","usually","Seen","human","[obj]",7.92334821193015,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","79","Object target","usually","Seen","human","[obj]",7.85515700588134,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","93","Object target","usually","Seen","human","[obj]",7.84384863815247,TRUE,"SVO active","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","41","Subject target","always","Unseen","human","[subj]",7.73892375743946,TRUE,"SVO active","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","88","Object target","usually","Seen","human","[obj]",7.72797554210556,TRUE,"OVS passive","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","22","Subject target","usually","Seen","human","[subj]",7.8087293067444,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","17","Subject target","usually","Seen","human","[subj]",7.63433723562832,TRUE,"OVS passive","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","33","Subject target","often","Seen","human","[subj]",7.68248244653451,TRUE,"SVO active","Non-linear",0.5,-0.5,0.5,0.5,0.5
"2","4","Subject target","usually","Seen","human","[subj]",8.12326131912175,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","51","Subject target","often","Unseen","human","[subj]",7.85631957140659,TRUE,"SVO active","Linear",-0.5,-0.5,0.5,0.5,-0.5
"2","71","Object target","usually","Seen","human","[obj]",7.81520706218909,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","110","Object target","usually","Unseen","human","[subj]",8.06243279158319,FALSE,"OVS passive","Linear",-0.5,0.5,0.5,-0.5,-0.5
"2","12","Subject target","typically","Seen","human","[subj]",7.68845535654994,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","44","Subject target","usually","Unseen","human","[subj]",7.98036576511125,TRUE,"SVO active","Linear",-0.5,-0.5,0.5,0.5,-0.5
"2","109","Object target","typically","Unseen","human","[subj]",7.81843027207066,FALSE,"OVS passive","Linear",-0.5,0.5,0.5,-0.5,-0.5
"2","61","Object target","typically","Seen","human","[obj]",7.71154897962915,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","46","Subject target","often","Unseen","human","[obj]",7.65302041380419,FALSE,"OVS passive","Linear",-0.5,-0.5,0.5,-0.5,-0.5
"2","11","Subject target","often","Seen","human","[subj]",7.68982866873648,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","42","Subject target","often","Unseen","human","[subj]",7.83755436088108,TRUE,"SVO active","Linear",-0.5,-0.5,0.5,0.5,-0.5
"2","15","Subject target","often","Seen","human","[subj]",7.79605797431612,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","55","Subject target","often","Unseen","human","[subj]",7.80506704425849,TRUE,"SVO active","Linear",-0.5,-0.5,0.5,0.5,-0.5
"2","24","Subject target","often","Seen","human","[subj]",7.74716496652033,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","7","Subject target","typically","Seen","human","[obj]",7.81075811652936,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","23","Subject target","always","Seen","human","[subj]",8.17329343896623,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","79","Object target","usually","Seen","human","[subj]",7.83794891602528,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","45","Subject target","always","Unseen","human","[subj]",7.93056585423396,TRUE,"SVO active","Linear",-0.5,-0.5,0.5,0.5,-0.5
"2","56","Subject target","typically","Unseen","human","[obj]",7.69893619981345,FALSE,"OVS passive","Linear",-0.5,-0.5,0.5,-0.5,-0.5
"2","2","Subject target","often","Seen","human","[subj]",7.82124208352356,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","18","Subject target","always","Seen","human","[obj]",7.69893619981345,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","95","Object target","often","Seen","human","[obj]",7.94449216393216,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","52","Subject target","typically","Unseen","human","[subj]",7.9218984110238,TRUE,"SVO active","Linear",-0.5,-0.5,0.5,0.5,-0.5
"2","1","Subject target","always","Seen","human","[subj]",7.78779687818117,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","76","Object target","always","Seen","human","[subj]",8.03786623470962,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","38","Subject target","typically","Seen","human","[obj]",7.77022320415879,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","98","Object target","always","Seen","human","[subj]",7.7553388128465,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","36","Subject target","always","Seen","human","[obj]",7.67693714581808,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","84","Object target","usually","Seen","human","[obj]",7.74975340627444,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","60","Subject target","typically","Unseen","human","[obj]",7.66949525100769,FALSE,"OVS passive","Linear",-0.5,-0.5,0.5,-0.5,-0.5
"2","64","Object target","often","Seen","human","[obj]",8.0959035329611,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","43","Subject target","typically","Unseen","human","[subj]",7.75405263903576,TRUE,"SVO active","Linear",-0.5,-0.5,0.5,0.5,-0.5
"2","47","Subject target","typically","Unseen","human","[obj]",8.28878581042693,FALSE,"OVS passive","Linear",-0.5,-0.5,0.5,-0.5,-0.5
"2","112","Object target","always","Unseen","human","[obj]",7.7376162828579,TRUE,"SVO active","Linear",-0.5,0.5,0.5,0.5,-0.5
"2","20","Subject target","typically","Seen","human","[obj]",7.83280751652486,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","99","Object target","often","Seen","human","[subj]",7.76514490293613,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","106","Object target","usually","Unseen","human","[subj]",7.91425227874244,FALSE,"OVS passive","Linear",-0.5,0.5,0.5,-0.5,-0.5
"2","21","Subject target","typically","Seen","human","[subj]",7.75705114203201,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","117","Object target","often","Unseen","human","[subj]",7.69074316354187,FALSE,"OVS passive","Linear",-0.5,0.5,0.5,-0.5,-0.5
"2","29","Subject target","typically","Seen","human","[obj]",7.70210434005105,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","97","Object target","usually","Seen","human","[subj]",7.64108424917491,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","86","Object target","often","Seen","human","[subj]",7.68063742756094,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","22","Subject target","usually","Seen","human","[subj]",7.72090525193678,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","40","Subject target","always","Seen","human","[obj]",7.75147531802146,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","65","Object target","typically","Seen","human","[obj]",7.70885960104718,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","103","Object target","always","Unseen","human","[obj]",7.63964228785801,TRUE,"SVO active","Linear",-0.5,0.5,0.5,0.5,-0.5
"2","57","Subject target","usually","Unseen","human","[obj]",7.81561053203519,FALSE,"OVS passive","Linear",-0.5,-0.5,0.5,-0.5,-0.5
"2","3","Subject target","typically","Seen","human","[subj]",7.80954132465341,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","13","Subject target","usually","Seen","human","[subj]",7.60887062919126,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","83","Object target","typically","Seen","human","[obj]",7.73280753042202,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","14","Subject target","always","Seen","human","[subj]",7.66340766489348,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","39","Subject target","usually","Seen","human","[obj]",7.82843635915759,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","102","Object target","usually","Unseen","human","[obj]",7.84424071814181,TRUE,"SVO active","Linear",-0.5,0.5,0.5,0.5,-0.5
"2","104","Object target","often","Unseen","human","[obj]",7.80384330353877,TRUE,"SVO active","Linear",-0.5,0.5,0.5,0.5,-0.5
"2","30","Subject target","usually","Seen","human","[obj]",7.82564473221999,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","19","Subject target","often","Seen","human","[obj]",7.90211754627645,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","34","Subject target","typically","Seen","human","[subj]",7.86365126544865,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","31","Subject target","usually","Seen","human","[subj]",7.6434829070772,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","94","Object target","always","Seen","human","[obj]",7.60240133566582,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","62","Object target","usually","Seen","human","[obj]",7.67461749736436,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","105","Object target","typically","Unseen","human","[obj]",7.75790620835175,TRUE,"SVO active","Linear",-0.5,0.5,0.5,0.5,-0.5
"2","89","Object target","always","Seen","human","[subj]",7.85670679309584,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","66","Object target","usually","Seen","human","[subj]",7.60936653795421,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","70","Object target","usually","Seen","human","[subj]",8.39795910349254,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","58","Subject target","always","Unseen","human","[obj]",7.75276480885133,FALSE,"OVS passive","Linear",-0.5,-0.5,0.5,-0.5,-0.5
"2","67","Object target","always","Seen","human","[subj]",7.86940171257709,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","5","Subject target","always","Seen","human","[subj]",7.93343838762749,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","75","Object target","usually","Seen","human","[obj]",7.71289096149013,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","77","Object target","often","Seen","human","[subj]",7.743269700829,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","87","Object target","typically","Seen","human","[subj]",7.87245515006398,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","81","Object target","always","Seen","human","[obj]",8.20930841164694,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","108","Object target","often","Unseen","human","[subj]",7.70255611326858,FALSE,"OVS passive","Linear",-0.5,0.5,0.5,-0.5,-0.5
"2","116","Object target","always","Unseen","human","[subj]",7.80261806344267,FALSE,"OVS passive","Linear",-0.5,0.5,0.5,-0.5,-0.5
"2","28","Subject target","often","Seen","human","[obj]",7.67322312112171,FALSE,"OVS passive","Linear",0.5,-0.5,0.5,-0.5,-0.5
"2","33","Subject target","often","Seen","human","[subj]",7.54327334670545,TRUE,"SVO active","Linear",0.5,-0.5,0.5,0.5,-0.5
"2","91","Object target","often","Seen","human","[obj]",7.66528471847135,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
"2","88","Object target","usually","Seen","human","[subj]",7.75233516330229,FALSE,"OVS passive","Linear",0.5,0.5,0.5,-0.5,-0.5
"2","63","Object target","always","Seen","human","[obj]",7.72885582385254,TRUE,"SVO active","Linear",0.5,0.5,0.5,0.5,-0.5
