"subject","item","target_response","sentence_type","seen_in_training","data_source","mask_added_tokens","stop_at","response","log.RT","correct","voice","linear","f.score.pre.training","seen_in_training.n","target_response.n","data_source.n","voice.n","linear.n","RT"
"1","52","Subject target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.79770203551669,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2435
"1","61","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.78530518253986,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2405
"1","84","Object target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.68248244653451,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2170
"1","110","Object target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.8995244720322,TRUE,"OVS passive","Non-linear",NA,-0.5,0.5,0.5,-0.5,0.5,2696
"1","104","Object target","neg perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.7698009960039,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,2368
"1","102","Object target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.74283595543075,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,2305
"1","53","Subject target","cleft subject perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.62803112693033,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2055
"1","65","Object target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.62413058566129,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2047
"1","77","Object target","raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.73892375743946,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2296
"1","73","Object target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.77443551030296,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2379
"1","50","Subject target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",8.38571682862785,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,4384
"1","69","Object target","neg perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.5999019592085,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,1998
"1","115","Object target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.67971363996637,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,2164
"1","32","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.71244383427499,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2236
"1","99","Object target","neg perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.83597458172157,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2530
"1","45","Subject target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",8.27435700675629,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,3922
"1","49","Subject target","neg perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.84031298332016,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,2541
"1","47","Subject target","raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",8.81655676864186,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,6745
"1","105","Object target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.77737360265786,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,2386
"1","18","Subject target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.69984240739699,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2208
"1","56","Subject target","perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.88720858581393,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,2663
"1","58","Subject target","cleft subject perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",8.16593213732158,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,3519
"1","15","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.54802896993501,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,1897
"1","51","Subject target","perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.74413662762799,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2308
"1","42","Subject target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.94236223767433,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2814
"1","39","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.92479591395644,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2765
"1","97","Object target","raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.755767170103,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2335
"1","81","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.76556908109732,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2358
"1","5","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.74240202181578,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2304
"1","7","Subject target","raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.77863014732581,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2389
"1","31","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.78613643778307,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2407
"1","19","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.78696700261487,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2409
"1","9","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",8.22603842948548,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,3737
"1","35","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.71467747380093,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2241
"1","107","Object target","raising perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.88231491898027,TRUE,"OVS passive","Non-linear",NA,-0.5,0.5,0.5,-0.5,0.5,2650
"1","60","Subject target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.86249719723055,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,2598
"1","12","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.81923445385907,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2488
"1","28","Subject target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.7510451179718,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2324
"1","76","Object target","perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.84815308619953,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2561
"1","85","Object target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",8.05515773181968,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,3150
"1","113","Object target","cleft subject perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.75147531802146,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,2325
"1","29","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.67368812926773,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2151
"1","11","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.65491704784832,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2111
"1","55","Subject target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.49665243816828,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,1802
"1","98","Object target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.58171964012531,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,1962
"1","16","Subject target","perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.72400465667607,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2262
"1","48","Subject target","cleft subject perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.53796265976821,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,1878
"1","2","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.96137020171951,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2868
"1","78","Object target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.86365126544865,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2601
"1","1","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",8.08085641964099,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,3232
"1","70","Object target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.87359778968554,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2627
"1","92","Object target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",8.03883475778775,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,3099
"1","3","Subject target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.71646080017636,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2245
"1","94","Object target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.76895604453833,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2366
"1","119","Object target","neg perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.71912984090673,TRUE,"OVS passive","Non-linear",NA,-0.5,0.5,0.5,-0.5,0.5,2251
"1","91","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.65964295456468,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2121
"1","116","Object target","perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.64969262371151,TRUE,"OVS passive","Non-linear",NA,-0.5,0.5,0.5,-0.5,0.5,2100
"1","13","Subject target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.57558465155779,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,1950
"1","30","Subject target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.7510451179718,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2324
"1","26","Subject target","perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.7066129139642,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2223
"1","20","Subject target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.87435882472988,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2629
"1","96","Object target","perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.70841066725737,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2227
"1","103","Object target","cleft subject perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",8.20494516501921,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,3659
"1","67","Object target","raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.69302574841789,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2193
"1","86","Object target","perfect passive","Seen","human","Don't mask blork","convergence","[obj]",8.28878581042693,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,3979
"1","83","Object target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.73193072194849,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2280
"1","27","Subject target","raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.6889133368648,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2184
"1","44","Subject target","neg perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.82883452758809,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2512
"1","25","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.71556953452021,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2243
"1","120","Object target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.70029520342012,TRUE,"OVS passive","Non-linear",NA,-0.5,0.5,0.5,-0.5,0.5,2209
"1","106","Object target","perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.77653502818524,TRUE,"OVS passive","Non-linear",NA,-0.5,0.5,0.5,-0.5,0.5,2384
"1","59","Subject target","neg perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.86365126544865,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,2601
"1","37","Subject target","raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.59438124255182,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,1987
"1","118","Object target","cleft subject perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.66293785046154,TRUE,"OVS passive","Non-linear",NA,-0.5,0.5,0.5,-0.5,0.5,2128
"1","62","Object target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.9035962896143,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2707
"1","21","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.78945456608667,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2415
"1","80","Object target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.8739783796045,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2628
"1","43","Subject target","cleft subject perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.74153358928183,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2302
"1","87","Object target","raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.74109909003537,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2301
"1","74","Object target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.6004023345004,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,1999
"1","14","Subject target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.83794891602528,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2535
"1","10","Subject target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.91862865334224,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2748
"1","54","Subject target","neg perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.82364593083495,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2499
"1","23","Subject target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.82324569068552,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2498
"1","95","Object target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.60887062919126,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2016
"1","40","Subject target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",8.08794755464267,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,3255
"1","34","Subject target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.84971375760487,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2565
"1","68","Object target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.63626960337937,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2072
"1","63","Object target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.85709386490249,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2584
"1","114","Object target","neg perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",8.35302584520232,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,4243
"1","36","Subject target","perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.76599307940768,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2359
"1","82","Object target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.70616297019958,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2222
"1","46","Subject target","perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.98412195870293,TRUE,"OVS passive","Non-linear",NA,-0.5,-0.5,0.5,-0.5,0.5,2934
"1","101","Object target","perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.86940171257709,TRUE,"SVO active","Non-linear",NA,-0.5,0.5,0.5,0.5,0.5,2616
"1","4","Subject target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.88683299895506,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2662
"1","71","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.82444593087762,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2501
"1","75","Object target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.92334821193015,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2761
"1","79","Object target","neg perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.85515700588134,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2579
"1","93","Object target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.84384863815247,TRUE,"SVO active","Non-linear",NA,0.5,0.5,0.5,0.5,0.5,2550
"1","41","Subject target","perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.73892375743946,TRUE,"SVO active","Non-linear",NA,-0.5,-0.5,0.5,0.5,0.5,2296
"1","88","Object target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.72797554210556,TRUE,"OVS passive","Non-linear",NA,0.5,0.5,0.5,-0.5,0.5,2271
"1","22","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.8087293067444,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2462
"1","17","Subject target","raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.63433723562832,TRUE,"OVS passive","Non-linear",NA,0.5,-0.5,0.5,-0.5,0.5,2068
"1","33","Subject target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.68248244653451,TRUE,"SVO active","Non-linear",NA,0.5,-0.5,0.5,0.5,0.5,2170
"2","4","Subject target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",8.12326131912175,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,3372
"2","51","Subject target","perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.85631957140659,TRUE,"SVO active","Linear",NA,-0.5,-0.5,0.5,0.5,-0.5,2582
"2","71","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.81520706218909,TRUE,"SVO active","Linear",NA,0.5,0.5,0.5,0.5,-0.5,2478
"2","110","Object target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",8.06243279158319,FALSE,"OVS passive","Linear",NA,-0.5,0.5,0.5,-0.5,-0.5,3173
"2","12","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.68845535654994,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,2183
"2","44","Subject target","neg perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.98036576511125,TRUE,"SVO active","Linear",NA,-0.5,-0.5,0.5,0.5,-0.5,2923
"2","109","Object target","neg perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.81843027207066,FALSE,"OVS passive","Linear",NA,-0.5,0.5,0.5,-0.5,-0.5,2486
"2","61","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.71154897962915,TRUE,"SVO active","Linear",NA,0.5,0.5,0.5,0.5,-0.5,2234
"2","46","Subject target","perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.65302041380419,FALSE,"OVS passive","Linear",NA,-0.5,-0.5,0.5,-0.5,-0.5,2107
"2","11","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.68982866873648,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,2186
"2","42","Subject target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.83755436088108,TRUE,"SVO active","Linear",NA,-0.5,-0.5,0.5,0.5,-0.5,2534
"2","15","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.79605797431612,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,2431
"2","55","Subject target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.80506704425849,TRUE,"SVO active","Linear",NA,-0.5,-0.5,0.5,0.5,-0.5,2453
"2","24","Subject target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.74716496652033,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,2315
"2","7","Subject target","raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.81075811652936,FALSE,"OVS passive","Linear",NA,0.5,-0.5,0.5,-0.5,-0.5,2467
"2","23","Subject target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",8.17329343896623,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,3545
"2","79","Object target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.83794891602528,FALSE,"OVS passive","Linear",NA,0.5,0.5,0.5,-0.5,-0.5,2535
"2","45","Subject target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.93056585423396,TRUE,"SVO active","Linear",NA,-0.5,-0.5,0.5,0.5,-0.5,2781
"2","56","Subject target","perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.69893619981345,FALSE,"OVS passive","Linear",NA,-0.5,-0.5,0.5,-0.5,-0.5,2206
"2","2","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.82124208352356,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,2493
"2","18","Subject target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.69893619981345,FALSE,"OVS passive","Linear",NA,0.5,-0.5,0.5,-0.5,-0.5,2206
"2","95","Object target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.94449216393216,TRUE,"SVO active","Linear",NA,0.5,0.5,0.5,0.5,-0.5,2820
"2","52","Subject target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.9218984110238,TRUE,"SVO active","Linear",NA,-0.5,-0.5,0.5,0.5,-0.5,2757
"2","1","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.78779687818117,TRUE,"SVO active","Linear",NA,0.5,-0.5,0.5,0.5,-0.5,2411
"2","76","Object target","perfect passive","Seen","human","Don't mask blork","convergence","[subj]",8.03786623470962,FALSE,"OVS passive","Linear",NA,0.5,0.5,0.5,-0.5,-0.5,3096
